,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,
0,0.024121828,0.026108934,0.026162671,0.026372976,0.026597758,0.026552796,0.026607229,0.026615871,0.026566022,0.026691165,0.02660758,0.026561326,0.026600838,0.026628753,0.026480926,0.026333736,0.026350651,524288,13815.32986
1,0.031173488,0.031794634,0.031159461,0.031111439,0.031288372,0.031044457,0.031231715,0.030979964,0.030955195,0.031162553,0.030902293,0.030975613,0.03103184,0.030975057,0.031027098,0.030631655,0.031090302,524288,16300.27235
2,0.00974734,0.009729909,0.009344829,0.009388083,0.009560393,0.009545889,0.00953675,0.00949194,0.009532584,0.00954075,0.009484371,0.009525604,0.009513901,0.009503623,0.009504418,0.0093281,0.009517405,524288,4989.861328
3,0.011540625,0.014683061,0.014792681,0.015210734,0.015611702,0.015639067,0.015685638,0.015568548,0.01577576,0.015722195,0.01553962,0.015684817,0.015707122,0.015612735,0.015675015,0.01536364,0.01523831,131072,1997.315755
4,0.005671077,0.007708576,0.007960425,0.008429289,0.008705378,0.008679999,0.008821143,0.008797381,0.008889384,0.008897384,0.008825991,0.00893373,0.008877357,0.008838442,0.008921305,0.008574327,0.008470699,131072,1110.271484
5,0.002556271,0.006815275,0.008392016,0.009422938,0.009840647,0.00998444,0.01025539,0.010124736,0.010380109,0.01032967,0.010298411,0.010518392,0.010374493,0.010352453,0.01034175,0.009989315,0.009373519,32768,307.1514757
6,0.002330992,0.00759093,0.009756406,0.011305491,0.011821853,0.011848026,0.012362374,0.012177043,0.01262527,0.012508604,0.012444814,0.012734307,0.012608952,0.01248508,0.012532022,0.011875365,0.011187971,32768,366.6074219
7,0.000477685,0.002160814,0.004035102,0.005092197,0.005674574,0.005817837,0.006100549,0.006143782,0.006473541,0.006388346,0.006392585,0.006574843,0.006658342,0.00632604,0.006384956,0.006228129,0.005433083,8192,44.5078125
8,0.000461155,0.003704919,0.007794698,0.009773254,0.010855357,0.011047363,0.011427138,0.011422051,0.011993832,0.011757745,0.011733161,0.012047238,0.012038337,0.011684842,0.011788262,0.011371613,0.01005631,8192,82.3812934
9,0,3.05E-05,0.000479804,0.001215617,0.001809014,0.002041287,0.002187093,0.002015856,0.002212524,0.00215488,0.002302382,0.00223626,0.002249824,0.002146403,0.0022956,0.002180311,0.001722336,2048,3.52734375
10,0,0.000115289,0.001990424,0.004299588,0.00533549,0.005871243,0.006230672,0.006067912,0.006403605,0.006232368,0.006571452,0.006873237,0.006663005,0.006391737,0.006627401,0.006228977,0.0051189,2048,10.48350694
11,0,0.000196669,0.057040744,0.003316243,0.005262587,0.042731391,0.01167806,0.008666992,0.037787543,0.011705187,0.011664497,0.034979926,0.012891981,0.012207031,0.034233941,0.01292589,0.018580543,512,9.513237847
12,0,2.71E-05,0.012858073,0.002373589,0.004252116,0.018500434,0.005750868,0.005296495,0.013983832,0.006015354,0.005940755,0.014804416,0.006774902,0.00579834,0.013400608,0.005818685,0.007599725,512,3.891059028
13,0.09375,0.156656901,0.155707465,0.154052734,0.113878038,0.189534505,0.114800347,0.164442274,0.146050347,0.15866428,0.126302083,0.177652995,0.125461155,0.162136502,0.144314236,0.159179688,0.146411472,128,18.7406684
14,0.0390625,0.156304253,0.138617622,0.122233073,0.103841146,0.145046658,0.102674696,0.132758247,0.134847005,0.123074002,0.114963108,0.137315538,0.112331814,0.126600477,0.133517795,0.123887804,0.121692234,128,15.5766059
,,,,,,,,,,,,,,,,,,1922304,39075.43121
,,,,,,,,,,,,,,,,,,,0.020327394
