,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,19034.0,17678.0,12247.0,18693.0,18403.0,12707.0,17805.0,19327.0,14192.0,15496.0,20589.0,16441.0,13873.0,19740.0,17175.0,13379.0,524288
1,24836.0,20384.0,17256.0,21674.0,21520.0,17914.0,20153.0,24789.0,17188.0,19239.0,24125.0,19272.0,18343.0,24038.0,19603.0,18380.0,524288
2,8697.0,5735.0,5708.0,6507.0,6969.0,5387.0,6271.0,8719.0,4565.0,6821.0,7873.0,5642.0,6106.0,7534.0,5966.0,5988.0,524288
3,2132.0,2034.0,1772.0,2040.0,2307.0,1871.0,2265.0,2634.0,1666.0,2422.0,2401.0,2086.0,2191.0,2428.0,2243.0,1925.0,131072
4,1066.0,1357.0,841.0,1199.0,1542.0,951.0,1249.0,1669.0,1029.0,1255.0,1476.0,1425.0,1166.0,1540.0,1512.0,1024.0,131072
5,104.0,212.0,79.0,269.0,261.0,144.0,250.0,277.0,174.0,191.0,299.0,283.0,174.0,316.0,369.0,175.0,32768
6,43.0,224.0,53.0,282.0,354.0,112.0,305.0,340.0,226.0,208.0,358.0,396.0,229.0,373.0,556.0,152.0,32768
7,1.0,11.0,0.0,8.0,21.0,0.0,18.0,16.0,13.0,14.0,24.0,37.0,6.0,22.0,45.0,5.0,8192
8,0.0,16.0,1.0,36.0,53.0,7.0,49.0,43.0,37.0,27.0,58.0,74.0,24.0,63.0,105.0,11.0,8192
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,2048
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,2048
11,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,27.0,5.0,0.0,23.0,6.0,512
12,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,512
13,12.0,20.0,20.0,20.0,12.0,25.0,13.0,19.0,21.0,19.0,13.0,27.0,13.0,19.0,20.0,19.0,128
14,5.0,20.0,18.0,16.0,10.0,22.0,10.0,16.0,20.0,13.0,11.0,20.0,11.0,15.0,18.0,13.0,128
