,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,14916.0,14905.0,7214.0,13606.0,16908.0,9315.0,12023.0,17341.0,10314.0,10967.0,16684.0,11686.0,9094.0,16529.0,12411.0,8762.0,524288
1,19732.0,19300.0,12072.0,18451.0,20050.0,13896.0,16769.0,20249.0,15683.0,16299.0,19776.0,16900.0,13656.0,19532.0,17465.0,14014.0,524288
2,5684.0,6165.0,2696.0,5106.0,6360.0,3473.0,4480.0,6422.0,3826.0,4283.0,5798.0,4689.0,3032.0,5545.0,5483.0,3515.0,524288
3,1723.0,2167.0,947.0,1820.0,2220.0,1364.0,1685.0,2221.0,1543.0,1673.0,2143.0,1905.0,1151.0,2057.0,2262.0,1543.0,131072
4,795.0,1250.0,432.0,945.0,1290.0,741.0,833.0,1289.0,913.0,879.0,1187.0,1158.0,615.0,1090.0,1348.0,773.0,131072
5,86.0,157.0,31.0,121.0,238.0,82.0,109.0,269.0,125.0,134.0,289.0,197.0,83.0,220.0,274.0,115.0,32768
6,72.0,157.0,30.0,103.0,272.0,89.0,108.0,349.0,144.0,134.0,364.0,283.0,92.0,271.0,406.0,116.0,32768
7,3.0,6.0,0.0,1.0,20.0,0.0,0.0,28.0,13.0,5.0,25.0,22.0,2.0,13.0,29.0,3.0,8192
8,0.0,13.0,0.0,3.0,48.0,3.0,2.0,66.0,34.0,12.0,63.0,41.0,3.0,30.0,82.0,17.0,8192
9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2048
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2048
11,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,28.0,4.0,0.0,25.0,5.0,2.0,25.0,4.0,512
12,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,7.0,1.0,512
13,12.0,20.0,20.0,20.0,12.0,25.0,13.0,19.0,22.0,18.0,14.0,26.0,14.0,18.0,23.0,18.0,128
14,5.0,20.0,18.0,16.0,10.0,22.0,10.0,16.0,18.0,15.0,10.0,24.0,8.0,17.0,18.0,15.0,128
