,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,33457.0,34442.0,34034.0,33763.0,34571.0,34571.0,33729.0,35085.0,33792.0,33351.0,35759.0,33641.0,34583.0,35791.0,34323.0,34698.0,524288
1,34354.0,39946.0,38899.0,31762.0,38742.0,37957.0,31524.0,38770.0,38857.0,31396.0,38128.0,39925.0,33877.0,36394.0,40755.0,36355.0,524288
2,11612.0,11031.0,11011.0,9593.0,11467.0,11161.0,9674.0,11915.0,11423.0,9435.0,11649.0,11353.0,10051.0,11345.0,11147.0,10693.0,524288
3,2863.0,3707.0,4004.0,3067.0,3940.0,4310.0,3015.0,3926.0,4347.0,3209.0,3625.0,4339.0,3768.0,3383.0,4389.0,4116.0,131072
4,1870.0,2225.0,2097.0,1892.0,2495.0,2320.0,1909.0,2556.0,2417.0,1795.0,2387.0,2567.0,1975.0,2194.0,2745.0,2274.0,131072
5,250.0,357.0,534.0,520.0,526.0,662.0,467.0,535.0,668.0,555.0,521.0,608.0,572.0,553.0,667.0,724.0,32768
6,389.0,350.0,671.0,719.0,762.0,840.0,641.0,776.0,840.0,631.0,692.0,757.0,669.0,824.0,815.0,912.0,32768
7,30.0,28.0,52.0,85.0,83.0,94.0,97.0,101.0,71.0,80.0,83.0,64.0,88.0,105.0,85.0,104.0,8192
8,31.0,42.0,100.0,172.0,158.0,220.0,166.0,189.0,165.0,122.0,166.0,145.0,144.0,180.0,171.0,195.0,8192
9,0.0,0.0,0.0,5.0,7.0,7.0,6.0,7.0,6.0,5.0,3.0,4.0,4.0,6.0,11.0,10.0,2048
10,0.0,0.0,3.0,17.0,10.0,25.0,18.0,15.0,15.0,10.0,12.0,17.0,14.0,21.0,17.0,22.0,2048
11,0.0,0.0,29.0,2.0,2.0,18.0,10.0,9.0,12.0,9.0,7.0,12.0,8.0,8.0,15.0,7.0,512
12,0.0,0.0,6.0,5.0,1.0,9.0,3.0,7.0,6.0,4.0,4.0,5.0,3.0,3.0,9.0,5.0,512
13,12.0,20.0,20.0,20.0,17.0,21.0,19.0,18.0,20.0,19.0,19.0,20.0,19.0,19.0,21.0,18.0,128
14,5.0,20.0,13.0,15.0,16.0,15.0,19.0,17.0,21.0,8.0,22.0,16.0,14.0,18.0,18.0,21.0,128
