,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,54588.0,55908.0,55906.0,59691.0,56850.0,58715.0,57577.0,59536.0,61079.0,57004.0,54355.0,52934.0,51168.0,56453.0,60332.0,52822.0,524288
1,57106.0,56270.0,53771.0,55987.0,55996.0,58915.0,58528.0,56109.0,53964.0,51397.0,49834.0,47860.0,48676.0,51059.0,57169.0,46719.0,524288
2,21096.0,18928.0,17207.0,19560.0,18665.0,18291.0,20342.0,18681.0,19329.0,18515.0,17984.0,17970.0,17338.0,18769.0,21493.0,15137.0,524288
3,6046.0,7118.0,6118.0,6721.0,6795.0,7007.0,7868.0,6823.0,6557.0,6525.0,6778.0,6690.0,6685.0,7319.0,7786.0,5360.0,131072
4,3377.0,3985.0,3504.0,4065.0,4177.0,3638.0,4536.0,4081.0,3891.0,3891.0,4307.0,3673.0,3924.0,3920.0,4260.0,2802.0,131072
5,509.0,1210.0,1098.0,1286.0,1291.0,972.0,1551.0,1331.0,1330.0,1213.0,1435.0,1274.0,1364.0,1390.0,1429.0,920.0,32768
6,586.0,1663.0,1324.0,1843.0,1724.0,1106.0,2127.0,1870.0,1803.0,1720.0,1974.0,1566.0,1798.0,1698.0,1794.0,1134.0,32768
7,39.0,168.0,178.0,239.0,255.0,126.0,261.0,255.0,274.0,257.0,283.0,236.0,266.0,263.0,260.0,110.0,8192
8,35.0,296.0,283.0,457.0,457.0,259.0,478.0,399.0,440.0,378.0,440.0,369.0,384.0,413.0,429.0,233.0,8192
9,0.0,1.0,10.0,20.0,18.0,11.0,25.0,19.0,24.0,22.0,19.0,26.0,20.0,28.0,23.0,4.0,2048
10,0.0,6.0,43.0,65.0,72.0,42.0,89.0,59.0,101.0,80.0,56.0,97.0,55.0,119.0,76.0,21.0,2048
11,0.0,1.0,21.0,4.0,8.0,10.0,15.0,8.0,14.0,17.0,9.0,9.0,13.0,8.0,17.0,6.0,512
12,0.0,0.0,13.0,9.0,23.0,1.0,22.0,13.0,28.0,16.0,13.0,16.0,13.0,13.0,25.0,4.0,512
13,12.0,20.0,19.0,21.0,17.0,21.0,18.0,22.0,15.0,22.0,16.0,20.0,18.0,20.0,18.0,21.0,128
14,5.0,20.0,19.0,18.0,18.0,19.0,16.0,18.0,21.0,18.0,19.0,14.0,22.0,16.0,20.0,20.0,128
