,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,17614.0,17497.0,14536.0,17965.0,16180.0,15366.0,18339.0,14731.0,18033.0,18764.0,14761.0,18100.0,16234.0,16448.0,17855.0,15061.0,524288
1,24209.0,23751.0,20632.0,24272.0,20941.0,19382.0,23323.0,20906.0,22182.0,23093.0,20482.0,23228.0,21287.0,20271.0,24264.0,20704.0,524288
2,8535.0,6269.0,5404.0,7173.0,4708.0,5385.0,6483.0,5049.0,6170.0,6124.0,5111.0,7196.0,4730.0,5988.0,6669.0,4710.0,524288
3,2127.0,2177.0,2094.0,2403.0,1832.0,2044.0,2236.0,1775.0,2336.0,2227.0,1912.0,2454.0,1993.0,2079.0,2213.0,1752.0,131072
4,1034.0,1135.0,1016.0,1351.0,1085.0,955.0,1315.0,953.0,1165.0,1414.0,941.0,1345.0,1186.0,1003.0,1259.0,960.0,131072
5,81.0,183.0,197.0,278.0,259.0,149.0,287.0,203.0,271.0,320.0,158.0,281.0,236.0,200.0,232.0,227.0,32768
6,22.0,95.0,145.0,278.0,224.0,125.0,314.0,142.0,231.0,371.0,159.0,283.0,208.0,193.0,233.0,217.0,32768
7,0.0,1.0,0.0,8.0,9.0,3.0,12.0,1.0,10.0,23.0,8.0,16.0,10.0,5.0,7.0,7.0,8192
8,0.0,1.0,0.0,45.0,26.0,21.0,45.0,11.0,34.0,74.0,27.0,62.0,26.0,23.0,32.0,26.0,8192
9,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,2048
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,2048
11,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,26.0,6.0,0.0,23.0,6.0,3.0,22.0,6.0,512
12,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,512
13,12.0,20.0,20.0,20.0,12.0,25.0,13.0,19.0,19.0,20.0,13.0,27.0,14.0,19.0,22.0,18.0,128
14,5.0,20.0,18.0,16.0,10.0,22.0,10.0,16.0,22.0,10.0,14.0,22.0,12.0,14.0,15.0,15.0,128
