,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,5998.0,6834.0,6495.0,6836.0,7345.0,6925.0,6745.0,7278.0,7383.0,7763.0,7769.0,7402.0,7856.0,7890.0,7736.0,7705.0,524288
1,9260.0,10005.0,9948.0,10216.0,10259.0,10152.0,11156.0,10950.0,11275.0,10805.0,11481.0,10937.0,12257.0,11440.0,11893.0,11251.0,524288
2,1795.0,2383.0,2631.0,2482.0,2539.0,2433.0,2640.0,2600.0,2827.0,2625.0,2783.0,2542.0,2929.0,2723.0,2743.0,2753.0,524288
3,483.0,1062.0,1192.0,1261.0,1334.0,1255.0,1415.0,1357.0,1545.0,1468.0,1467.0,1291.0,1653.0,1414.0,1504.0,1539.0,131072
4,185.0,489.0,606.0,566.0,654.0,632.0,693.0,716.0,770.0,746.0,844.0,676.0,841.0,675.0,693.0,806.0,131072
5,7.0,103.0,146.0,141.0,176.0,160.0,208.0,219.0,248.0,256.0,254.0,218.0,292.0,200.0,200.0,265.0,32768
6,0.0,85.0,89.0,122.0,173.0,127.0,147.0,200.0,219.0,273.0,263.0,211.0,190.0,168.0,182.0,168.0,32768
7,0.0,1.0,1.0,10.0,13.0,10.0,8.0,21.0,27.0,35.0,29.0,22.0,15.0,10.0,17.0,11.0,8192
8,0.0,1.0,8.0,28.0,31.0,33.0,32.0,52.0,61.0,68.0,57.0,49.0,55.0,27.0,42.0,38.0,8192
9,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,2048
10,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,7.0,5.0,3.0,11.0,5.0,2.0,1.0,0.0,2048
11,0.0,0.0,32.0,0.0,2.0,26.0,6.0,1.0,18.0,8.0,6.0,19.0,5.0,6.0,17.0,9.0,512
12,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,5.0,2.0,1.0,8.0,1.0,0.0,1.0,0.0,512
13,12.0,20.0,20.0,20.0,12.0,28.0,12.0,20.0,21.0,21.0,17.0,21.0,17.0,22.0,17.0,20.0,128
14,5.0,20.0,18.0,16.0,10.0,19.0,8.0,19.0,18.0,17.0,16.0,16.0,16.0,18.0,15.0,15.0,128
