,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,17177.0,25265.0,20502.0,16654.0,18917.0,19946.0,16436.0,19387.0,22538.0,17968.0,24893.0,24472.0,17754.0,18833.0,21851.0,20029.0,1048576
1,6881.0,18602.0,24421.0,20243.0,13452.0,14633.0,19428.0,11744.0,15652.0,22838.0,20540.0,10589.0,18693.0,19513.0,9552.0,18848.0,1048576
2,18043.0,42751.0,39045.0,31132.0,27374.0,27944.0,27779.0,24742.0,31453.0,33124.0,39728.0,30240.0,28011.0,31859.0,25192.0,31099.0,1048576
3,2852.0,7966.0,9998.0,9018.0,7577.0,7485.0,8586.0,7406.0,8844.0,10183.0,10165.0,7248.0,9109.0,9751.0,6884.0,9537.0,262144
4,13388.0,25664.0,26854.0,22673.0,20129.0,20663.0,20933.0,19625.0,21903.0,23207.0,25668.0,20170.0,21666.0,23348.0,18075.0,22447.0,262144
5,257.0,2022.0,2364.0,2002.0,1804.0,1776.0,2214.0,1899.0,1889.0,2444.0,2279.0,1565.0,2255.0,2211.0,1660.0,2390.0,65536
6,7922.0,15490.0,17340.0,14775.0,13312.0,13374.0,14249.0,13318.0,13919.0,15181.0,15663.0,12192.0,14847.0,15165.0,11869.0,14998.0,65536
7,93.0,824.0,864.0,819.0,756.0,832.0,870.0,844.0,879.0,971.0,944.0,750.0,855.0,989.0,747.0,1050.0,16384
8,3775.0,9384.0,9900.0,8875.0,8163.0,8098.0,8681.0,8236.0,8326.0,9252.0,9080.0,7408.0,8966.0,9170.0,7496.0,9073.0,16384
9,83.0,230.0,350.0,230.0,266.0,310.0,229.0,249.0,291.0,249.0,293.0,284.0,242.0,301.0,294.0,298.0,8192
10,43.0,504.0,695.0,526.0,575.0,605.0,423.0,522.0,584.0,443.0,513.0,589.0,526.0,531.0,535.0,541.0,8192
11,91.0,543.0,587.0,467.0,493.0,513.0,429.0,502.0,557.0,496.0,530.0,510.0,504.0,541.0,544.0,510.0,8192
12,6.0,106.0,141.0,113.0,113.0,119.0,103.0,133.0,112.0,115.0,138.0,111.0,140.0,134.0,99.0,112.0,2048
13,60.0,565.0,572.0,467.0,521.0,506.0,462.0,545.0,539.0,522.0,553.0,533.0,568.0,544.0,557.0,550.0,2048
14,27.0,27.0,46.0,42.0,25.0,38.0,50.0,49.0,33.0,55.0,43.0,38.0,40.0,55.0,25.0,32.0,512
15,36.0,413.0,440.0,358.0,395.0,388.0,380.0,439.0,398.0,425.0,429.0,422.0,417.0,438.0,424.0,407.0,512
