,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,35747.0,42957.0,33519.0,37560.0,41488.0,36578.0,35538.0,34683.0,45885.0,35199.0,39704.0,36597.0,46248.0,33469.0,43047.0,39009.0,1048576
1,32170.0,29306.0,18170.0,27465.0,23961.0,20536.0,23040.0,25177.0,26709.0,20272.0,26670.0,24604.0,24680.0,19271.0,30805.0,24338.0,1048576
2,56594.0,62410.0,42204.0,50286.0,54011.0,46992.0,46779.0,45280.0,62879.0,45989.0,53720.0,47919.0,61990.0,42850.0,60786.0,52096.0,1048576
3,12699.0,15182.0,10912.0,13534.0,14500.0,13365.0,12871.0,13321.0,15671.0,12129.0,14818.0,12507.0,14723.0,11329.0,16033.0,13228.0,262144
4,33675.0,35626.0,27960.0,32518.0,33766.0,31732.0,30385.0,31094.0,36276.0,30248.0,33521.0,30661.0,35442.0,28425.0,36497.0,31302.0,262144
5,2151.0,2855.0,2255.0,2945.0,2788.0,2445.0,3038.0,2721.0,2852.0,2388.0,3327.0,2613.0,2824.0,2406.0,3555.0,2534.0,65536
6,18476.0,19624.0,16834.0,19071.0,19375.0,18401.0,18184.0,18561.0,19904.0,17902.0,19752.0,18110.0,19388.0,17013.0,20909.0,17989.0,65536
7,453.0,908.0,910.0,892.0,986.0,940.0,971.0,902.0,983.0,880.0,1004.0,860.0,870.0,822.0,1002.0,911.0,16384
8,9319.0,10634.0,9738.0,10486.0,10698.0,10234.0,10130.0,10384.0,10658.0,9982.0,10801.0,10204.0,10419.0,9516.0,11341.0,10064.0,16384
9,81.0,258.0,303.0,280.0,254.0,293.0,309.0,293.0,269.0,260.0,275.0,274.0,246.0,284.0,294.0,329.0,8192
10,112.0,529.0,547.0,463.0,430.0,505.0,550.0,494.0,456.0,439.0,448.0,495.0,432.0,510.0,455.0,516.0,8192
11,114.0,612.0,619.0,531.0,522.0,650.0,660.0,580.0,567.0,531.0,572.0,555.0,566.0,627.0,567.0,705.0,8192
12,35.0,142.0,114.0,106.0,125.0,127.0,129.0,106.0,122.0,121.0,109.0,113.0,111.0,124.0,97.0,117.0,2048
13,140.0,683.0,653.0,553.0,563.0,697.0,686.0,613.0,611.0,550.0,626.0,621.0,583.0,626.0,592.0,696.0,2048
14,34.0,69.0,52.0,48.0,37.0,48.0,30.0,48.0,54.0,21.0,39.0,46.0,31.0,19.0,39.0,22.0,512
15,131.0,503.0,492.0,440.0,438.0,501.0,491.0,439.0,448.0,414.0,458.0,460.0,446.0,417.0,434.0,468.0,512
