,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,40571.0,39975.0,25754.0,26321.0,39636.0,29409.0,45405.0,34428.0,31814.0,31024.0,27554.0,37306.0,28896.0,32048.0,36950.0,26316.0,1048576
1,28900.0,42728.0,20481.0,17753.0,27688.0,26638.0,32079.0,18047.0,23643.0,22721.0,18533.0,27625.0,23696.0,19440.0,21674.0,25716.0,1048576
2,62220.0,73202.0,35394.0,32310.0,54082.0,44118.0,69998.0,42225.0,43387.0,42990.0,33697.0,51342.0,40520.0,40611.0,46491.0,37612.0,1048576
3,13453.0,18443.0,8867.0,8833.0,15225.0,12506.0,16960.0,10129.0,12673.0,13472.0,10437.0,16300.0,12728.0,13109.0,13463.0,11541.0,262144
4,35608.0,43532.0,25690.0,25196.0,35649.0,31463.0,40861.0,27903.0,31477.0,31344.0,25612.0,36708.0,30063.0,30505.0,32224.0,28637.0,262144
5,2142.0,3294.0,1506.0,1779.0,2632.0,2216.0,2765.0,1790.0,2577.0,2309.0,2094.0,3077.0,2151.0,2471.0,2360.0,2384.0,65536
6,18585.0,24311.0,15916.0,16625.0,21005.0,19237.0,22257.0,16372.0,19612.0,19111.0,16448.0,22020.0,18458.0,18685.0,19184.0,18473.0,65536
7,489.0,1164.0,589.0,829.0,1056.0,796.0,1101.0,727.0,925.0,987.0,928.0,1201.0,874.0,1013.0,989.0,858.0,16384
8,9363.0,12517.0,8789.0,9497.0,11088.0,10458.0,11534.0,9188.0,10676.0,10515.0,9530.0,11774.0,10167.0,10446.0,10386.0,10215.0,16384
9,99.0,373.0,120.0,189.0,311.0,172.0,318.0,228.0,265.0,259.0,250.0,398.0,173.0,257.0,277.0,179.0,8192
10,98.0,625.0,267.0,396.0,550.0,373.0,561.0,432.0,475.0,537.0,412.0,535.0,337.0,442.0,509.0,351.0,8192
11,122.0,623.0,258.0,455.0,535.0,336.0,589.0,468.0,437.0,479.0,479.0,628.0,386.0,530.0,523.0,354.0,8192
12,35.0,117.0,72.0,126.0,123.0,133.0,119.0,96.0,108.0,120.0,129.0,154.0,124.0,126.0,129.0,98.0,2048
13,128.0,550.0,304.0,474.0,534.0,422.0,591.0,479.0,463.0,521.0,530.0,620.0,430.0,580.0,510.0,385.0,2048
14,32.0,31.0,15.0,37.0,27.0,26.0,39.0,25.0,50.0,35.0,30.0,51.0,26.0,47.0,38.0,32.0,512
15,113.0,366.0,238.0,369.0,347.0,334.0,416.0,367.0,367.0,412.0,367.0,430.0,329.0,446.0,371.0,310.0,512
