,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,20661.0,29646.0,22120.0,15575.0,14679.0,13748.0,15881.0,17307.0,12939.0,14243.0,18826.0,15164.0,15788.0,15303.0,14502.0,15990.0,1048576
1,5162.0,15782.0,14705.0,10724.0,8667.0,11048.0,14898.0,11847.0,11853.0,12665.0,17557.0,14111.0,13321.0,11683.0,12545.0,15757.0,1048576
2,24588.0,53840.0,44426.0,26614.0,20222.0,21413.0,27840.0,25674.0,20772.0,20719.0,33830.0,25601.0,24870.0,22285.0,23231.0,27132.0,1048576
3,2602.0,8626.0,9328.0,6581.0,5024.0,6820.0,9380.0,7678.0,6938.0,7889.0,10371.0,7953.0,8517.0,6920.0,7926.0,9888.0,262144
4,13487.0,33886.0,30334.0,20956.0,16922.0,17875.0,21830.0,19893.0,17075.0,18478.0,24458.0,19109.0,19875.0,18243.0,18563.0,21456.0,262144
5,430.0,2254.0,2075.0,1687.0,1259.0,1930.0,2244.0,1881.0,1942.0,2167.0,2638.0,1897.0,2279.0,1802.0,2276.0,2603.0,65536
6,6504.0,19481.0,18037.0,14676.0,12002.0,13080.0,15278.0,13496.0,12488.0,13930.0,16235.0,12714.0,14230.0,12773.0,13191.0,15294.0,65536
7,82.0,690.0,723.0,711.0,649.0,837.0,1017.0,787.0,718.0,893.0,989.0,723.0,899.0,724.0,846.0,1082.0,16384
8,3063.0,10585.0,10462.0,9202.0,7898.0,8618.0,9547.0,8300.0,7993.0,9158.0,9802.0,7813.0,9021.0,8038.0,8531.0,9638.0,16384
9,155.0,272.0,237.0,253.0,210.0,278.0,321.0,228.0,287.0,276.0,309.0,285.0,270.0,218.0,261.0,279.0,8192
10,115.0,726.0,527.0,607.0,457.0,571.0,568.0,472.0,596.0,586.0,524.0,502.0,506.0,514.0,516.0,540.0,8192
11,186.0,562.0,502.0,538.0,438.0,572.0,566.0,440.0,527.0,532.0,592.0,517.0,475.0,446.0,511.0,559.0,8192
12,14.0,111.0,128.0,113.0,113.0,133.0,129.0,115.0,122.0,112.0,140.0,124.0,103.0,118.0,97.0,130.0,2048
13,139.0,555.0,543.0,547.0,490.0,623.0,619.0,483.0,562.0,581.0,611.0,572.0,524.0,514.0,544.0,593.0,2048
14,21.0,24.0,33.0,41.0,31.0,26.0,53.0,15.0,37.0,47.0,20.0,39.0,27.0,46.0,27.0,41.0,512
15,98.0,350.0,392.0,408.0,368.0,450.0,473.0,381.0,445.0,457.0,445.0,430.0,374.0,444.0,406.0,455.0,512
