,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,23675.0,34736.0,26632.0,27419.0,29417.0,31832.0,23261.0,28243.0,28455.0,24390.0,28387.0,27286.0,27897.0,31940.0,34326.0,29450.0,1048576
1,10524.0,23471.0,16018.0,20378.0,17725.0,17186.0,15980.0,18224.0,16399.0,18810.0,17744.0,16797.0,25625.0,19544.0,18792.0,17230.0,1048576
2,28947.0,56065.0,34256.0,42708.0,39583.0,39126.0,32197.0,38209.0,34015.0,35058.0,36251.0,32399.0,46708.0,43908.0,43555.0,36806.0,1048576
3,4711.0,11837.0,8737.0,12263.0,10767.0,10735.0,9309.0,11303.0,10266.0,11189.0,11567.0,9651.0,13510.0,11674.0,11988.0,10051.0,262144
4,18181.0,33394.0,22471.0,29290.0,25910.0,26115.0,22362.0,26379.0,24175.0,24744.0,25306.0,22918.0,30080.0,27221.0,27289.0,23511.0,262144
5,663.0,2745.0,1980.0,2702.0,2485.0,2690.0,2438.0,2549.0,2436.0,2784.0,2887.0,2210.0,3187.0,2526.0,2696.0,2200.0,65536
6,9938.0,19144.0,14362.0,17515.0,15752.0,15825.0,14110.0,16127.0,15250.0,15630.0,15919.0,14378.0,18011.0,15950.0,16188.0,14393.0,65536
7,158.0,1078.0,884.0,962.0,931.0,1027.0,829.0,964.0,1005.0,941.0,1055.0,936.0,987.0,927.0,919.0,873.0,16384
8,5043.0,10942.0,8852.0,10059.0,9345.0,9528.0,8377.0,9273.0,9154.0,9221.0,9462.0,8721.0,10056.0,9147.0,9433.0,8481.0,16384
9,72.0,262.0,240.0,219.0,289.0,295.0,179.0,267.0,250.0,214.0,303.0,256.0,229.0,248.0,316.0,259.0,8192
10,52.0,594.0,508.0,442.0,570.0,499.0,420.0,529.0,494.0,434.0,596.0,468.0,397.0,452.0,528.0,464.0,8192
11,87.0,616.0,489.0,431.0,605.0,524.0,449.0,552.0,549.0,480.0,599.0,503.0,468.0,542.0,638.0,481.0,8192
12,10.0,126.0,137.0,118.0,131.0,133.0,121.0,138.0,151.0,84.0,151.0,145.0,124.0,129.0,154.0,116.0,2048
13,72.0,610.0,549.0,470.0,621.0,563.0,492.0,563.0,546.0,489.0,590.0,526.0,541.0,583.0,660.0,492.0,2048
14,27.0,22.0,46.0,22.0,43.0,30.0,32.0,33.0,36.0,29.0,38.0,30.0,39.0,33.0,45.0,26.0,512
15,56.0,417.0,437.0,371.0,490.0,437.0,406.0,451.0,427.0,414.0,450.0,438.0,433.0,448.0,494.0,366.0,512
