,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,18961.0,19375.0,19144.0,16011.0,15837.0,18232.0,15802.0,20746.0,17680.0,19506.0,16108.0,15157.0,19474.0,16371.0,17357.0,17152.0,1048576
1,21099.0,20361.0,15530.0,12071.0,13420.0,13657.0,12927.0,18052.0,15150.0,15641.0,11074.0,13454.0,14875.0,14529.0,13765.0,14448.0,1048576
2,37265.0,37012.0,31803.0,25275.0,23964.0,26994.0,24752.0,32469.0,27899.0,31319.0,23326.0,22057.0,29474.0,25857.0,25299.0,25794.0,1048576
3,8235.0,10983.0,9127.0,7170.0,7735.0,9106.0,8437.0,9568.0,10214.0,9862.0,7195.0,7627.0,10065.0,9331.0,7819.0,9550.0,262144
4,21513.0,23668.0,22259.0,18805.0,19104.0,21294.0,20295.0,22720.0,22005.0,23110.0,17959.0,18818.0,22802.0,21155.0,18623.0,21071.0,262144
5,1528.0,2844.0,2394.0,1642.0,2174.0,2473.0,2211.0,2381.0,2691.0,2415.0,1813.0,2305.0,2741.0,2342.0,2145.0,2717.0,65536
6,11710.0,15109.0,14399.0,12288.0,13582.0,14663.0,13918.0,14947.0,15181.0,15141.0,12325.0,13752.0,15571.0,14690.0,12764.0,14678.0,65536
7,389.0,967.0,853.0,639.0,873.0,895.0,854.0,832.0,955.0,900.0,724.0,889.0,947.0,885.0,787.0,1053.0,16384
8,6216.0,9299.0,8829.0,7746.0,8833.0,9156.0,8869.0,9284.0,9369.0,9365.0,7929.0,8917.0,9696.0,9311.0,8077.0,9462.0,16384
9,94.0,275.0,239.0,181.0,256.0,271.0,249.0,284.0,309.0,274.0,240.0,231.0,295.0,302.0,224.0,301.0,8192
10,77.0,555.0,507.0,371.0,522.0,518.0,501.0,495.0,563.0,503.0,454.0,419.0,546.0,561.0,472.0,534.0,8192
11,108.0,556.0,516.0,412.0,490.0,514.0,480.0,524.0,626.0,552.0,474.0,466.0,576.0,599.0,466.0,599.0,8192
12,13.0,140.0,106.0,135.0,133.0,119.0,137.0,127.0,140.0,125.0,89.0,144.0,143.0,126.0,117.0,148.0,2048
13,90.0,576.0,518.0,449.0,539.0,538.0,531.0,530.0,628.0,601.0,492.0,527.0,597.0,627.0,507.0,640.0,2048
14,24.0,31.0,40.0,47.0,33.0,60.0,57.0,47.0,53.0,57.0,26.0,54.0,35.0,46.0,43.0,47.0,512
15,70.0,411.0,413.0,370.0,415.0,449.0,425.0,411.0,478.0,457.0,366.0,418.0,448.0,473.0,405.0,481.0,512
