,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,31429.0,30037.0,30653.0,27692.0,30910.0,34892.0,29380.0,38838.0,36387.0,36057.0,31255.0,38641.0,35280.0,32128.0,31110.0,37331.0,1048576
1,29969.0,23604.0,18898.0,20187.0,19022.0,22571.0,22518.0,28456.0,19761.0,25532.0,24272.0,25767.0,17572.0,21417.0,24222.0,23383.0,1048576
2,53267.0,46261.0,43401.0,37768.0,38913.0,51125.0,42039.0,54738.0,49802.0,56540.0,46062.0,53725.0,47501.0,48216.0,46202.0,51054.0,1048576
3,10721.0,10906.0,10550.0,10537.0,12077.0,12890.0,11666.0,13645.0,12230.0,13437.0,12112.0,13311.0,11571.0,12587.0,12869.0,13743.0,262144
4,30344.0,28344.0,27879.0,26705.0,28115.0,30956.0,28070.0,32508.0,29518.0,32773.0,28950.0,31917.0,28138.0,30356.0,30091.0,31672.0,262144
5,1897.0,2425.0,2267.0,2644.0,2721.0,2587.0,2861.0,2763.0,2537.0,2743.0,2882.0,2606.0,2486.0,2991.0,3104.0,2763.0,65536
6,16313.0,16777.0,16367.0,16888.0,17643.0,17817.0,16897.0,18590.0,16796.0,18408.0,16831.0,17995.0,16055.0,18019.0,17952.0,17999.0,65536
7,459.0,773.0,972.0,955.0,989.0,1020.0,884.0,946.0,884.0,1059.0,857.0,913.0,872.0,1056.0,871.0,923.0,16384
8,8184.0,9270.0,9259.0,9621.0,10055.0,9676.0,9413.0,10249.0,9398.0,9970.0,9483.0,9926.0,9101.0,9981.0,10068.0,9964.0,16384
9,92.0,205.0,292.0,291.0,247.0,317.0,274.0,246.0,281.0,323.0,272.0,280.0,248.0,337.0,263.0,287.0,8192
10,115.0,485.0,546.0,515.0,442.0,501.0,445.0,412.0,531.0,582.0,442.0,471.0,497.0,491.0,444.0,439.0,8192
11,119.0,501.0,572.0,534.0,493.0,575.0,493.0,509.0,575.0,623.0,521.0,570.0,555.0,615.0,534.0,533.0,8192
12,29.0,134.0,139.0,96.0,109.0,125.0,98.0,116.0,107.0,102.0,122.0,104.0,104.0,103.0,132.0,93.0,2048
13,130.0,550.0,598.0,558.0,511.0,601.0,516.0,551.0,578.0,640.0,554.0,591.0,580.0,603.0,594.0,552.0,2048
14,26.0,51.0,64.0,25.0,42.0,41.0,23.0,42.0,22.0,34.0,35.0,42.0,23.0,28.0,52.0,31.0,512
15,111.0,443.0,477.0,416.0,424.0,435.0,379.0,440.0,407.0,479.0,435.0,446.0,406.0,432.0,479.0,425.0,512
