,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,14086.0,19866.0,18361.0,22142.0,14712.0,15949.0,19307.0,16182.0,19085.0,19857.0,14717.0,16454.0,19889.0,16222.0,16927.0,20000.0,1048576
1,8634.0,20170.0,14698.0,15747.0,9458.0,10250.0,12918.0,11470.0,16320.0,13398.0,11755.0,13443.0,15013.0,10392.0,12626.0,14917.0,1048576
2,19916.0,42037.0,33411.0,38297.0,21859.0,22046.0,29573.0,23657.0,29795.0,30232.0,21858.0,25084.0,32131.0,23105.0,24524.0,32162.0,1048576
3,3905.0,10266.0,8144.0,10638.0,6477.0,7692.0,10444.0,8075.0,10016.0,10910.0,7261.0,8804.0,12172.0,7927.0,8576.0,11239.0,262144
4,12899.0,24321.0,20954.0,25199.0,16783.0,17775.0,21742.0,18949.0,21475.0,22881.0,18151.0,19061.0,24176.0,18359.0,18236.0,23460.0,262144
5,510.0,2680.0,1963.0,3045.0,1668.0,2091.0,2913.0,2292.0,2627.0,3043.0,2130.0,2735.0,3140.0,2199.0,2729.0,3225.0,65536
6,7320.0,14619.0,13327.0,16111.0,11156.0,12128.0,14889.0,13125.0,14125.0,15354.0,12593.0,13141.0,16011.0,12499.0,12708.0,15797.0,65536
7,80.0,881.0,697.0,862.0,623.0,762.0,1064.0,808.0,842.0,1061.0,768.0,800.0,1070.0,770.0,819.0,1137.0,16384
8,3962.0,9357.0,8192.0,9439.0,6891.0,8037.0,9318.0,8244.0,8864.0,9497.0,7856.0,8326.0,9654.0,7796.0,8363.0,9668.0,16384
9,48.0,200.0,207.0,208.0,178.0,217.0,232.0,242.0,221.0,312.0,207.0,213.0,319.0,232.0,219.0,306.0,8192
10,21.0,573.0,497.0,479.0,469.0,535.0,546.0,471.0,466.0,655.0,412.0,437.0,620.0,490.0,426.0,610.0,8192
11,51.0,468.0,434.0,436.0,366.0,440.0,488.0,462.0,413.0,580.0,378.0,433.0,650.0,449.0,432.0,628.0,8192
12,9.0,96.0,74.0,116.0,96.0,119.0,114.0,125.0,102.0,118.0,92.0,106.0,140.0,79.0,90.0,113.0,2048
13,47.0,482.0,429.0,472.0,375.0,516.0,522.0,508.0,471.0,604.0,451.0,472.0,654.0,463.0,466.0,592.0,2048
14,35.0,19.0,34.0,43.0,31.0,53.0,46.0,50.0,47.0,43.0,17.0,42.0,37.0,37.0,33.0,26.0,512
15,32.0,328.0,345.0,372.0,304.0,415.0,398.0,424.0,389.0,449.0,345.0,376.0,459.0,388.0,364.0,449.0,512
