,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,11681.0,17144.0,14686.0,16241.0,14191.0,15033.0,13524.0,17139.0,13204.0,14359.0,14536.0,14610.0,17313.0,14366.0,17441.0,16179.0,1048576
1,9529.0,21269.0,21447.0,10067.0,11279.0,17047.0,13188.0,12776.0,15105.0,16122.0,12595.0,16975.0,12181.0,13258.0,21471.0,11450.0,1048576
2,15025.0,34293.0,26354.0,21047.0,19424.0,24304.0,18047.0,24135.0,19700.0,20507.0,19517.0,21002.0,21252.0,19116.0,27521.0,20084.0,1048576
3,2622.0,9756.0,10102.0,4958.0,5147.0,8324.0,5655.0,6598.0,6658.0,6699.0,5739.0,8003.0,6619.0,6393.0,10355.0,6105.0,262144
4,11605.0,22856.0,21516.0,15843.0,15559.0,19626.0,15869.0,17973.0,16946.0,17320.0,15534.0,18250.0,16492.0,16090.0,21656.0,15991.0,262144
5,411.0,2619.0,2892.0,1091.0,1262.0,2337.0,1475.0,1481.0,2091.0,2044.0,1404.0,2560.0,1745.0,1990.0,3283.0,1369.0,65536
6,7371.0,14924.0,15405.0,10435.0,10967.0,13781.0,11716.0,11825.0,12852.0,12686.0,10603.0,13754.0,11567.0,11909.0,15474.0,10808.0,65536
7,97.0,784.0,863.0,464.0,700.0,757.0,657.0,776.0,720.0,698.0,782.0,860.0,715.0,781.0,956.0,596.0,16384
8,4090.0,8911.0,9361.0,6550.0,7294.0,8452.0,7521.0,7684.0,8067.0,8108.0,7105.0,8727.0,7449.0,7996.0,9498.0,6947.0,16384
9,56.0,195.0,194.0,134.0,207.0,202.0,188.0,239.0,194.0,210.0,230.0,227.0,192.0,246.0,249.0,182.0,8192
10,48.0,538.0,541.0,363.0,525.0,505.0,511.0,517.0,475.0,457.0,514.0,495.0,440.0,535.0,551.0,449.0,8192
11,70.0,423.0,388.0,305.0,450.0,382.0,365.0,425.0,394.0,400.0,434.0,423.0,372.0,457.0,442.0,314.0,8192
12,9.0,103.0,126.0,85.0,87.0,113.0,112.0,104.0,113.0,98.0,112.0,89.0,95.0,118.0,88.0,105.0,2048
13,60.0,420.0,459.0,342.0,473.0,442.0,431.0,442.0,495.0,474.0,497.0,451.0,431.0,536.0,458.0,421.0,2048
14,31.0,24.0,48.0,51.0,53.0,29.0,38.0,43.0,51.0,42.0,56.0,34.0,37.0,55.0,46.0,39.0,512
15,56.0,317.0,372.0,322.0,393.0,359.0,377.0,349.0,402.0,371.0,404.0,368.0,339.0,443.0,367.0,340.0,512
